#CODIGO,VALOR,DATA_INICIO,DATA_FIM
"12010400000052",3.00,"01/07/2012",
"12010460000052",3.00,"01/07/2012",
"12010520000052",3.00,"01/07/2012",
"12010580000052",3.00,"01/07/2012",
"12010580216052",3.00,"01/07/2012",
"12010600000052",3.00,"01/07/2012",
"12010940000052",3.00,"01/07/2012",
"12011200000052",3.00,"01/07/2012",
"12011240000052",3.00,"01/07/2012",
"12011260000052",3.00,"01/07/2012",
"12011360000052",3.00,"01/07/2012",
"12012220000052",3.00,"01/07/2012",
"12012280000052",3.00,"01/07/2012",
"12012380000052",3.00,"01/07/2012",
"12012420000052",3.00,"01/07/2012",
"12012660000052",3.00,"01/07/2012",
"12012800000052",3.00,"01/07/2012",
"12012820000052",3.00,"01/07/2012",
"12013420000052",3.00,"01/07/2012",
"12013460000052",3.00,"01/07/2012",
"12013560093041",3.00,"01/07/2012",
"12013560093041",6.70,"28/02/2012","30/06/2012"
"12013560093052",3.00,"01/07/2012",
"12013940000052",3.00,"01/07/2012",
"12013960000052",3.00,"01/07/2012",
"12014080000052",3.00,"01/07/2012",
"12014960000052",3.00,"01/07/2012",
"12015000000041",3.00,"01/07/2012",
"12015000000041",3.50,"28/02/2012","30/06/2012"
"12015000000052",3.00,"01/07/2012",
"12015020000052",3.00,"01/07/2012",
"12015040000052",3.00,"01/07/2012",
"12015120000052",3.00,"01/07/2012",
"12015220000052",3.00,"01/07/2012",
"12015800000052",3.00,"01/07/2012",
"12015920177052",3.00,"01/07/2012",
"12015960000052",3.00,"01/07/2012",
"12016300000052",3.00,"01/07/2012",
"12016360000052",3.00,"01/07/2012",
"12016440000052",3.00,"01/07/2012",
"12016480000052",3.00,"01/07/2012",
"12016560000052",3.00,"01/07/2012",
"12016660000052",3.00,"01/07/2012",
"12017320000052",3.00,"01/07/2012",
"13120020000002",3.00,"17/08/2012",
