#CNPJ_IF;NOME_IF;SEGMENTO_IF
04611476;CRESOL DE SALGADO FILHO;COOPERATIVA DE CRÉDITO
04622657;COOP CRESOL GERAÇÕES;COOPERATIVA DE CRÉDITO
04632856;CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.;COOPERATIVA DE CRÉDITO
04649750;CRESOL DE SANTO ANTONIO DO SUD;COOPERATIVA DE CRÉDITO
04663561;COOP INVEST INT SOL VALE DAS ÁGUAS PR/MG;COOPERATIVA DE CRÉDITO
04685303;CCR DE JARU LTDA. - SICOOB JARUCREDI;COOPERATIVA DE CRÉDITO
04876393;CCLA TRÊS FRONTEIRAS;COOPERATIVA DE CRÉDITO
04902979;BCO DA AMAZONIA S.A.;BANCO PÚBLICO
04913711;BCO DO EST. DO PA S.A.;BANCO PÚBLICO
04929712;CCR INT SOL DE BOA VISTA;COOPERATIVA DE CRÉDITO
04973378;CRESOL DE ITAPEJARA D`OESTE;COOPERATIVA DE CRÉDITO
04985665;CREDISIS OESTE - CCI DO OESTE;COOPERATIVA DE CRÉDITO
05040481;BCO DE LAGE LANDEN BRASIL S.A.;BANCO PRIVADO
05070112;COOP CRESOL INOVAÇAO;COOPERATIVA DE CRÉDITO
05121687;CRESOL DE GUARANIACU;COOPERATIVA DE CRÉDITO
05132104;CCR INT SOL CRESOL SUL;COOPERATIVA DE CRÉDITO
05135542;CCR INT SOL VALE DO COTEGIPE;COOPERATIVA DE CRÉDITO
05138766;CCR INT SOL ALIANÇA;COOPERATIVA DE CRÉDITO
05152177;CRESOL DE VERA CRUZ DO OESTE;COOPERATIVA DE CRÉDITO
05158093;CCLA REG LESTE BACIA RIO DOCE;COOPERATIVA DE CRÉDITO
05203605;SICOOB AMAZÔNIA;COOPERATIVA DE CRÉDITO
05211129;COOP CRESOL CENTRO NORTE;COOPERATIVA DE CRÉDITO
05220232;COOP CRESOL CONEXOES;COOPERATIVA DE CRÉDITO
05220243;COOP CRESOL ORIGENS;COOPERATIVA DE CRÉDITO
05222094;COOP SICOOB CERRADO;COOPERATIVA DE CRÉDITO
05231945;COOP CRESOL UNIAO DOS VALES;COOPERATIVA DE CRÉDITO
05241145;COOP CRESOL GETULIO VARGAS;COOPERATIVA DE CRÉDITO
05241619;COOP SICOOB PRIMAVERA;COOPERATIVA DE CRÉDITO
05247312;COOP SICOOB BURITIS;COOPERATIVA DE CRÉDITO
05269976;COOP CRESOL MAIS;COOPERATIVA DE CRÉDITO
05276770;COOP CRESOL FRONTEIRAS PR/SC/SP/ES;COOPERATIVA DE CRÉDITO
05277312;COOP CRESOL HORIZONTE;COOPERATIVA DE CRÉDITO
05326643;CCR INT. SOL. LESTE PARANAENSE;COOPERATIVA DE CRÉDITO
05392810;CC REGIÃO MERIDIONAL BRASIL;COOPERATIVA DE CRÉDITO
05400634;CCE INT SOL GUARACIABA;COOPERATIVA DE CRÉDITO
05410056;COOP CRESOL LITORAL;COOPERATIVA DE CRÉDITO
05425526;COOP CRESOL DESENVOLVIMENTO;COOPERATIVA DE CRÉDITO
05427501;CCR INT SOL IPUMIRIM;COOPERATIVA DE CRÉDITO
05428587;COOP CRESOL OLIVEIRA DOS BREJINHOS;COOPERATIVA DE CRÉDITO
05439425;CREDISIS CAPITALCREDI - CCLA DO ACRE LTDA.;COOPERATIVA DE CRÉDITO
05442759;COOP CRESOL PORTO XAVIER;COOPERATIVA DE CRÉDITO
05463934;CC CREDLIDER;COOPERATIVA DE CRÉDITO
05494591;COOP CRESOL NASCENTE;COOPERATIVA DE CRÉDITO
05582619;CC SICOOB OURO VERDE;COOPERATIVA DE CRÉDITO
05597773;CC INVESTIMENTO LIVRE ADMISSÃO DO OESTE DE RONDÔNIA;COOPERATIVA DE CRÉDITO
05745533;COOP CRESOL ITATIBA DO SUL;COOPERATIVA DE CRÉDITO
05772229;CC UNICOOB OURO BRANCO;COOPERATIVA DE CRÉDITO
05856736;SICOOB EMPRESARIAL;COOPERATIVA DE CRÉDITO
05863726;COOP CRESOL PLANALTO SERRA;COOPERATIVA DE CRÉDITO
05888589;COOP SUL;COOPERATIVA DE CRÉDITO
05983995;COOP CRESOL COOPERAR;COOPERATIVA DE CRÉDITO
05996245;CCR H NOVOS BARÃO DE COTEGIPE;COOPERATIVA DE CRÉDITO
06031727;COOP CRESOL ESSENCIA;COOPERATIVA DE CRÉDITO
06100881;CCRIS CÂNDIDO DE ABREU;COOPERATIVA DE CRÉDITO
06115743;CCRIS BOA VENTURA S.ROQUE;COOPERATIVA DE CRÉDITO
