#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)",6.75,"01/11/2011","15/01/2013"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",10.50,"01/07/2022",
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",7.50,"01/07/2021","30/06/2022"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",6.00,"01/07/2020","30/06/2021"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",8.00,"01/07/2019","30/06/2020"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",7.00,"01/07/2018","30/06/2019"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",7.50,"01/07/2017","30/06/2018"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",8.50,"06/07/2016","30/06/2017"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",9.50,"01/07/2016","05/07/2016"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",8.75,"01/07/2015","30/06/2016"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",6.50,"01/07/2014","30/06/2015"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",5.50,"01/07/2013","30/06/2014"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021",6.75,"01/11/2011","30/06/2013"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",10.50,"01/07/2022",
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",7.50,"01/07/2021","30/06/2022"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.00,"01/07/2020","30/06/2021"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.00,"01/07/2019","30/06/2020"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",7.00,"01/07/2018","30/06/2019"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.50,"01/07/2017","30/06/2018"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",9.50,"01/07/2016","30/06/2017"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",8.75,"01/07/2015","30/06/2016"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.50,"01/07/2014","30/06/2015"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",5.50,"01/07/2013","30/06/2014"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS",6.75,"01/11/2011","30/06/2013"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",12.50,"01/07/2022",
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",8.50,"01/07/2021","30/06/2022"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",7.50,"01/07/2020","30/06/2021"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"01/07/2019","30/06/2020"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.50,"01/07/2018","30/06/2019"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"03/07/2017","30/06/2018"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",7.50,"01/07/2017","02/07/2017"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",10.50,"01/07/2016","30/06/2017"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.00,"01/04/2015","30/06/2016"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",6.00,"01/07/2014","31/03/2015"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",5.50,"03/07/2013","30/06/2014"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",4.50,"01/07/2013","02/07/2013"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS",9.50,"01/11/2011","30/06/2013"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",11.50,"01/07/2022",
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.00,"01/07/2021","30/06/2022"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",7.00,"01/07/2020","30/06/2021"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.00,"01/07/2019","30/06/2020"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",7.00,"01/07/2018","30/06/2019"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.50,"01/07/2017","30/06/2018"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",9.50,"01/07/2016","30/06/2017"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",8.75,"01/07/2015","30/06/2016"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.50,"01/07/2014","30/06/2015"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",5.50,"01/07/2012","30/06/2014"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA",6.75,"01/11/2011","30/06/2012"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",8.50,"01/07/2022","30/06/2023"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",7.00,"01/07/2021","30/06/2022"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",6.00,"01/07/2020","30/06/2021"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",7.00,"01/07/2019","30/06/2020"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",6.00,"01/07/2018","30/06/2019"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",7.50,"01/07/2017","30/06/2018"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",8.50,"01/07/2016","30/06/2017"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",8.00,"01/07/2015","30/06/2016"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",5.00,"04/01/2014","30/06/2015"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",8.83,"02/01/2014","03/01/2014"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",5.00,"01/07/2012","01/01/2014"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"",5.50,"01/11/2011","30/06/2012"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",21.92,"01/12/2015","07/11/2022"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",21.96,"01/11/2015","30/11/2015"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",22.79,"01/10/2015","31/10/2015"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",18.33,"01/08/2015","30/09/2015"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",18.21,"01/07/2015","31/07/2015"
