#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FONTE,DESCRICAO_FONTE
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0100","TESOURO NACIONAL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","0100","TESOURO NACIONAL"
"0110","PRODECER III - PROG COOP NIPO-BRASILEIRA P DESENV DOS CERRADOS - ENCERRADO","0100","TESOURO NACIONAL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0505","BNDES/FINAME - EQUALIZÁVEL"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0505","BNDES/FINAME - EQUALIZÁVEL"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0505","BNDES/FINAME - EQUALIZÁVEL"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","0403","RECURSOS LIVRES EQUALIZÁVEIS"
